Full Name,Title,Company,Twitter,LinkedIn
Robert Herjavec,"CEO, Entrepreneur, Shark on ABC’s Shark Tank",Herjavec Group,https://twitter.com/robertherjavec,https://ca.linkedin.com/in/robertherjavec
Tiffani Bova,"Global, Customer Growth and Innovation Evangelist",Salesforce,https://twitter.com/Tiffani_Bova,https://www.linkedin.com/in/tiffanibova
Kyle Burnett,CTO & Co-Founder,Allbound,https://twitter.com/_kyleburnett,https://www.linkedin.com/in/kyleburnett
Lawrence Coburn,CEO & Co-Founder,DoubleDutch,https://www.twitter.com/lawrencecoburn,https://www.linkedin.com/in/lawrencecoburn
Emilia D'Anzica,"VP, Customer Engagement",WalkMe,https://twitter.com/emiliadanzica,https://www.linkedin.com/in/emiliadanzica
Jake Dunlap,CEO,Skaled,https://www.twitter.com/JakeTDunlap,https://www.linkedin.com/in/jakedunlap
Tim FitzGerald,"Vice President, Digital Transformation",Avnet,https://twitter.com/FitzAZ,https://www.linkedin.com/in/fitzaz
Jared Fuller,VP of Partnerships & Business Development,PandaDoc,https://www.twitter.com/fullerfreedom,https://www.linkedin.com/in/jaredfuller
Mark Geene,CEO & Co-Founder,Cloud Elements,https://www.twitter.com/mgeene,https://www.linkedin.com/in/markgeene
Justin Gray,CEO & Founder,LeadMD,https://www.twitter.com/jgraymatter,https://www.linkedin.com/in/leadmd
Mike Guggemos,Chief Information Officer,Insight,https://twitter.com/InsightEnt,https://www.linkedin.com/in/mguggemos
Josh Harcus,CEO and Founder,Hüify,https://www.twitter.com/JoshHarcus,https://www.linkedin.com/in/joshharcus
Richard Harris, Director of Sales Training and Consulting Services At Sales Hacker,The Harris Consulting Group,https://www.twitter.com/rharris415,https://www.linkedin.com/in/richardlharrisjr
Matt Hensler,VP of Customer Success,Allbound,https://www.twitter.com/matthensler,https://www.linkedin.com/in/henslermatt
Michelle Hodges,"VP, Global Channel Strategy & Programs",Riverbed,https://www.twitter.com/GlobalHodges,https://www.linkedin.com/in/michellehodges1
Anthony Kennada,VP Marketing,Gainsight,https://www.twitter.com/akennada,https://www.linkedin.com/in/akennada
Jack Kosakowski,Global Head of B2B Social Sales Execution,Creation Agency,https://www.twitter.com/jackkosakowski1,https://www.linkedin.com/in/jackkosakowski1
Asher Mathew,Director of Strategic Alliances,Avalara,https://twitter.com/ashermathew,https://www.linkedin.com/in/ashermathew
Nick Mehta,CEO,Gainsight,https://www.twitter.com/	nrmehta,https://www.linkedin.com/in/nickmehta
Jon Miller,CEO & Co-Founder,Engagio,https://twitter.com/jonmiller,https://www.linkedin.com/in/jonmiller2
Pedro Moya,"Head of Performance Marketing, Midwest",Google,https://twitter.com/google,https://www.linkedin.com/in/pedro-moya-956655a
Stephen Olmstead,"VP, Strategic Partnerships",InVision App,https://twitter.com/TheOlmstead,https://www.linkedin.com/in/stephenolmstead
Kevin O'Malley,VP of Demand Generation,SalesLoft,https://www.twitter.com/b2bkevin,https://www.linkedin.com/in/omalley
Bubba Page,Founder,OUTRO,https://twitter.com/bubbapage,https://www.linkedin.com/in/bubbapage
Kaushik Ram,"Director, Strategic Partner Marketing & Programs",Dell,https://twitter.com/pseudoranger,https://www.linkedin.com/in/kaushik-ram-4803442
Jesse Rivera,Channel Sales Manager,Celigo,https://twitter.com/celigoinc,https://www.linkedin.com/in/jessemrivera
Hiliary Robertson,Partner Operations,Optimizely,https://www.twitter.com/Optimizely,https://www.linkedin.com/in/hiliaryrobertson
Jill Rowley,Evangelist & Startup Advisor,#SocialSelling,https://www.twitter.com/jill_rowley,https://www.linkedin.com/in/jillrowley
Scott Salkin,CEO & Founder,Allbound,https://twitter.com/scottsalkin,https://www.linkedin.com/in/scottsalkin
Jen Spencer,VP of Sales & Marketing,Allbound,https://www.twitter.com/jenspencer,https://www.linkedin.com/in/jenspencer
Kelsey Tainsh,"Kelsey Tainsh, Professional Speaker",KelseyTainsh.com,https://www.twitter.com/kelseytainsh,https://www.linkedin.com/in/kelseytainsh
Dan Tyre,Sales Director,HubSpot,https://www.twitter.com/dantyre,https://www.linkedin.com/in/dantyre01
Sangram Vajre,CMO & Co-Founder,Terminus,https://www.twitter.com/sangramvajre,https://www.linkedin.com/in/sangramvajre
Mike Weir,Vertical Director - Technology Industry,LinkedIn,https://twitter.com/mikedweir,https://www.linkedin.com/in/mikedweir
Jarrod Weise,Marketing Manager,Cisco,https://twitter.com/jarrodweise,https://www.linkedin.com/in/jarrodweise
Raegan Wilson,Founder,Channel Squared Consulting,https://www.twitter.com/channelsquared,https://www.linkedin.com/in/raegan-wilson-mba-362497
Chris Willis,VP of User Experience,Domo,https://www.twitter.com/chriswillis,https://www.linkedin.com/in/cwillis
