Full Name,First Name,Last Name,Headline,Bio,Reference
MARC BENIOFF,MARC,BENIOFF,"Chairman & CEO, Salesforce","Marc Benioff is chairman and CEO of Salesforce. One of the pioneers of cloud computing, Benioff founded the company in 1999 with a vision to create an on-demand, information management service to replace traditional enterprise software technology. Under his leadership, Salesforce has grown from a groundbreaking idea into the fastest growing top ten software company in the world and the largest customer relationship management (CRM) company.
Salesforce’s mobile, social and connected cloud technologies help companies create deeper, more meaningful connections with their customers. For its revolutionary approach, Salesforce has been named the World’s Most Innovative Company four years in a row by Forbes Magazine. Fortune Magazine named Salesforce as the World’s Most Admired Company in the software industry two years in a row, and ranked the company #7 among the World’s Best Places to Work.
Benioff has been widely recognized for his visionary leadership and pioneering innovation. He was named Businessperson of the Year by Fortune readers, one of the Best CEOs in the World by Barron’s, and he received The Economist’s Innovation Award. He served as co-chairman of the President’s Information Technology Advisory Committee from 2003–2005.
Throughout his career, Benioff has evangelized a new model of integrated corporate philanthropy. In 2000, he launched the Salesforce Foundation and established the “1-1-1 model,” whereby the company contributes one percent of product, one percent of equity, and one percent of employee hours back to the communities it serves globally. Today, the Foundation has inspired other leading corporations to adopt the 1-1-1 model. Benioff has focused his personal philanthropy on advancing children’s health care through UCSF Benioff Children’s Hospitals.
Benioff is a 35-year veteran of the software industry. Prior to launching Salesforce, he spent 13 years at Oracle Corporation. He founded his first company, Liberty Software, which created video games, at the age of 15. He also worked as an assembly language programmer in Apple Computer’s Macintosh Division during his college years. Benioff received a Bachelor of Science in Business Administration in 1986 and an honorary degree of Doctor of Humane Letters in 2014 from the University of Southern California.
He is the author of three books, including the national best-seller, Behind the Cloud.",https://www.salesforce.com/dreamforce/DF16/keynotes-benioff/
MARY T. BARRA,MARY,T. BARRA,"Chairman & Chief Executive Officer, General Motors Company","Mary Barra is Chairman & Chief Executive Officer of General Motors Company. Barra was elected Chairman of the GM Board of Directors on January 4, 2016, and has served as CEO of GM since January 15, 2014.
Under Barra’s leadership, GM is working to lead the transformation of personal mobility through advanced technologies such as connectivity, electrification and autonomous driving.  Barra has also established a strategic direction based on putting the customer at the center of everything the company does, all around the world.
Prior to being named CEO, Barra served as Executive Vice President, Global Product Development, Purchasing & Supply Chain since August 2013, and as Senior Vice President, Global Product Development since February 2011. In these roles, she was responsible for the design, engineering, program management and quality of GM vehicles around the world.
Previously, Barra served as GM Vice President, Global Human Resources; Vice President, Global Manufacturing Engineering; Plant Manager, Detroit Hamtramck Assembly; Executive Director of Competitive Operations Engineering; and in several engineering and staff positions.
In 1990, Barra graduated with a Masters in Business Administration from the Stanford Graduate School of Business after receiving a GM fellowship in 1988.
Barra began her career with GM in 1980 as a General Motors Institute (Kettering University) co-op student at the Pontiac Motor Division. She graduated with a Bachelor of Science degree in electrical engineering in 1985.
Barra is a member of the General Dynamics Board of Directors. She serves on the Board of Directors of the Detroit Economic Club and as a member of The Business Council. She is also a member of the Stanford University Board of Trustees, the Stanford Graduate School of Business Advisory Council and the Board of Trustees for the Detroit Country Day School.
In 2014, Barra and her husband, Tony, chaired the Detroit International Wine Auction, raising a record $2.4 million for scholarships and community arts programs through the College for Creative Studies. In 2012, they chaired the Barbara Ann Karmanos Cancer Institute’s 30th annual dinner, which raised nearly $1.7 million for cancer research.
In 2015, Barra was ranked first on Fortune magazine’s list of the “50 Most Powerful Women in Business.” In 2014, she was named to the Time 100 and Forbes magazine named her one of the “World’s 100 Most Powerful Women.”
January 2016",https://www.salesforce.com/dreamforce/DF16/keynotes-barra
REP. JOHN LEWIS,REP.,JOHN LEWIS,Representative of the 5th Congressional District of Georgia,"Often called  ""one of the most courageous persons the Civil Rights Movement ever produced,"" Congressman John Lewis has dedicated his life to protecting human rights, securing civil liberties, and building what he calls ""The Beloved Community” in America.   His dedication to the highest ethical standards and moral principles has won him the admiration of many of his colleagues on both sides of the aisle in the United States Congress.
He was born the son of sharecroppers on February 21, 1940, outside of Troy, Alabama and grew up on his family's farm and attended segregated public schools.  As a young boy, he was inspired by the activism surrounding the Montgomery Bus Boycott and the words of the Rev. Martin Luther King Jr.  In those pivotal moments, he made a decision to become a part of the Civil Rights Movement and ever since then, he has remained at the vanguard of progressive social movements and the human rights struggle in the United States.
 
As a student at Fisk University, John Lewis organized sit-in demonstrations at segregated lunch counters in Nashville, Tennessee. In 1961, he volunteered to participate in the Freedom Rides, which challenged segregation at interstate bus terminals across the South. By 1963, he was dubbed one of the Big Six leaders of the Civil Rights Movement. At the age of 23, he was an architect of and a keynote speaker at the historic March on Washington in August 1963. On March 7, 1965, John Lewis helped spearhead one of the most seminal moments of the Civil Rights Movement by leading over 600 peaceful, orderly protestors across the Edmund Pettus Bridge in Selma, Alabama.  They intended to march from Selma to Montgomery to demonstrate the need for voting rights in the state but were attacked by Alabama state troopers in a brutal confrontation that became known as ""BloodySunday.""  News broadcasts and photographs revealing the senseless cruelty of the segregated South helped hasten the passage of the Voting Rights Act of 1965. Despite more than 40 arrests, physical attacks and serious injuries, John Lewis remains a devoted advocate of the philosophy of nonviolence.   In 1986, he was elected to Congress and has served the 5th Congressional district of Georgia ever since.  He is Democratic Senior Chief Deputy Whip and a senior member of the House Ways & Means Committee.
 
John Lewis holds a B.A. in Religion and Philosophy from Fisk University, and is a graduate of the American Baptist Theological Seminary, both in Nashville, Tennessee. He is the recipient of numerous awards from eminent national and international institutions, including the highest civilian honor granted by President Barack Obama, the Medal of Freedom and the only John F. Kennedy ""Profile in Courage Award"" for Lifetime Achievement ever granted by the John F. Kennedy Library Foundation.
John Lewis lives in Atlanta, Georgia.  He has one son, John Miles.",https://www.salesforce.com/dreamforce/DF16/keynotes-lewis
DEBORAH DUGAN,DEBORAH,DUGAN,"CEO, (RED)","Deborah Dugan is the Chief Executive Officer of (RED). (RED) was founded in 2006 by Bono and Bobby Shriver to engage businesses and consumers to help fight AIDS in Africa. (RED) partners with the world’s most iconic brands, such as Apple, Starbucks and Converse, who contribute profits from sales of (RED)‐branded products and services to the Global Fund to Fight AIDS, Tuberculosis and Malaria.
To date (RED) has raised  $350 million with 100% of that money going to AIDS programs that have helped impact 60 million lives. Deborah joined (RED) in 2011, and under her leadership (RED) has welcomed global partners such as The Coca‐Cola Company, SAP, and Latin America’s major mobile carriers Claro and Telcel.
With Deborah at the helm, (RED) has continuously pushed the boundaries for how social media is used for social good. In 2011 (RED) was recognized as the first cause to have reached over 1 million on both Facebook and Twitter, and recently became the first ever non‐profit to launch a Global Filter on Snapchat in partnership with the Bill & Melinda Gates Foundation, raising $3 million in one day.",https://www.salesforce.com/dreamforce/DF16/keynotes-dugan/
TONY ROBBINS,TONY,ROBBINS,Life and Business Strategist,"Tony Robbins is an entrepreneur, best selling author, philanthropist, and the nations #1 Life and Business Strategist. A recognized authority on the psychology of leadership, negotiations and organizational turnaround, he has served as an advisor to leaders around the world for more than 39 years. Author of five internationally bestselling books, including the recent New York Times #1 best­seller MONEY: MASTER THE GAME, Mr. Robbins has empowered more than 50 million people from 100 countries through his audio, video and life training programs. He created the #1 personal and professional development program of all time, and more than 4 million people have attended his live seminars.
Mr. Robbins is the chairman of a holding company comprised of more than a dozen privately held businesses with combined sales exceeding $5 billion a year. He has been honored by Accenture as one of the ""Top 50 Business Intellectuals in the World""; by Harvard Business Press as one of the ""Top 200 Business Gurus""; and by American Express as one of the ""Top Six Business Leaders in the World"" to coach its entrepreneurial clients. Fortune’s recent cover article named him the “CEO Whisperer,” and he was most recently named in the top 50 of Worth Magazine’s 100 most powerful people in global finance. 
In his mission to continually impact the lives of millions, Robbins has made headlines by partnering and lending his voice to disruptive companies in the financial services arena. His company America's Best 401k, a full service 401k solution, is making waves by providing free side­-by-­side fee comparisons to business owners to see just how much they are really paying in fees. They are also pioneering unique guaranteed income solutions for plan participants entering retirement. Mr. Robbins is also a major advocate for Portfolio CheckUp, a service that is disrupting the brokerage industry by providing a free online analysis of your investment accounts and then connecting you to a fee based fiduciary advisor that is required by law to put client's best interests first.  He is also the founder of Global Accounting Advisors, which provides much needed outsourced CFO for small business owners in 8 countries around the world.
As a philanthropist, Mr. Robbins feeds 4 million people per year in 56 countries. He has also initiated programs in more than 1,500 schools, 700 prisons, and 50,000 service organizations and shelters. He provides fresh water to 100,000 people a day in India in order to fight the number one killer of children in that country­waterborne diseases. Last year he raised the stakes: In order to honor those who helped his family during tough times, he personally provided 59 million meals to people in the USA, and matched funds to feed 100 million in 2015 alone through his partnership from Feeding America.",https://www.salesforce.com/dreamforce/DF16/keynotes-robbins/
MARK CUBAN,MARK,CUBAN,Entrepreneur,"“It doesn't matter how many times you fail. You only have to be right once and then everyone can tell you that you are an overnight success.”
Since the age of 12, Mark has been a natural businessman. Selling garbage bags door to door, the seed was planted early on for what would eventually become long-term success. After graduating from Indiana University - where he briefly owned the most popular bar in town - Mark moved to Dallas. After a dispute with an employer who wanted him to clean instead of closing an important sale, Mark created MicroSolutions, a computer consulting service. He went on to later sell MicroSolutions in 1990 to CompuServe.
In 1995, Mark and long-time friend Todd Wagner came up with an internet based solution to not being able to listen to Hoosiers Basketball games out in Texas. That solution was Broadcast.com - streaming audio over the internet. In just four short years, Broadcast.com (then Audionet) would be sold to Yahoo for $5.6 billion dollars.
Since his acquisition of the Dallas Mavericks in 2000, he has overseen the Mavs competing in the NBA Finals for the first time in franchise history in 2006 - and becoming NBA World Champions in 2011. They are currently listed as one of Forbes' most valuable franchises in sports.
In addition to the Mavs, Mark is chairman and CEO of AXS tv, one of ABC's ""Sharks"" on the hit show Shark Tank, and an investor in an ever-growing portfolio of businesses. He lives in Dallas with wife Tiffany, daughters Alexis and Alyssa, and son Jake.",https://www.salesforce.com/dreamforce/DF16/keynotes-cuban
CHRIS SACCA,CHRIS,SACCA,"Founder and Chairman, Lowercase Capital","Chris Sacca is the founder and chairman of Lowercase Capital, reported to be one of the most successful venture funds in history. A former Google executive, Sacca is now best known for being among the earliest and largest investors in companies such as Twitter, Uber, Instagram, Docker, Lookout, Twilio, and Kickstarter. His accomplishments have been recognized on a bunch of fancy lists but none brings him more pride than when GQ named him to its Worst Dressed list for his cowboy shirt obsession. These days, you an catch him as a Shark on Shark Tank doing everything he can to make Cuban and O'Leary miserable.",https://www.salesforce.com/dreamforce/DF16/keynotes-sacca/
CHRISTY TURLINGTON BURNS,CHRISTY,TURLINGTON BURNS,"Founder, Every Mother Counts","Christy Turlington Burns is a mother, social entrepreneur, model, and founder of the maternal health organization, Every Mother Counts. Having endured a childbirth complication herself, Christy was compelled to direct and produce the documentary, No Woman, No Cry about maternal health challenges that impact the lives of millions of girls and women around the world. Every Mother Counts was launched at the same time as advocacy campaign to heighten awareness about our global maternal health crisis. While advocacy remains a key focus, EMC has evolved into a 501c3 investing in programs around the world to ensure all women have access to quality maternal healthcare.
Christy has been recognized as one of Time’s “100 Most Influential People” and Glamour Magazine's “Woman of The Year.” In March 2016, EMC was recognized as one of Fast Company magazines Top 10 Most Innovative Companies in Not-For-Profit.
Prior to her work as a global maternal health advocate, Christy enjoyed a successful career as a model while continuing her education and pursuing other interests. Christy is a member of the Harvard Medical School Global Health Council and on the advisory Board of New York University's Nursing School. She holds a BA from NYU’s Gallatin School of Individualized Studies and has studied Public Health at Columbia University's Mailman School of Public Health. A five-time marathon finisher, Christy resides in New York City where she lives with her husband, filmmaker Edward Burns, and their two children.
QUESTION
In Christy’s words why is she so passionate about her work within the maternal health space:
I became a global maternal healthcare advocate the day I became a mother nearly 12 years ago. That was the day I also became a statistic. Within an hour of delivering my daughter I hemorrhaged. If not for the competent care of a team of providers that included a doula, midwife nurses and backing OB, I might not be here today. I learned soon that hundreds of thousands of girls and women die annually from the same complication I endured and survived and other preventable causes related to pregnancy and childbirth. Then I realized there was a silver lining. I learned that 98% of these deaths are preventable and that’s when I was moved to take action. This is not an issue that needs a cure. We know how to save these women’s lives. Every Mother Counts is a campaign dedicated to making pregnancy and child safe for every mother, everywhere.",https://www.salesforce.com/dreamforce/DF16/keynotes-burns/
"DR. NADINE BURKE HARRIS, MD, MPH, FAAP",DR.,"NADINE BURKE HARRIS, MD, MPH, FAAP","Founder & CEO, Center for Youth Wellness","A pioneer in the field of medicine, Dr. Nadine Burke Harris has earned international attention for her innovative approach to addressing Adverse Childhood Experiences, or ACEs, as a risk factor for adult disease such as heart disease and cancer. Her work has demonstrated that it’s time to reassess the relationship between early childhood adversity, child development and health, and how the practical applications of the Adverse Childhood Experiences study can improve health outcomes.
A pediatrician, mom and the founder/CEO of the Center for Youth Wellness, Burke Harris has brought these scientific discoveries and her new approach to audiences at the Mayo Clinic, American Academy of Pediatrics and Google Zeitgeist.
Burke Harris’ TED Talk, “How childhood trauma affects health across a lifetime,” has been viewed more than two million times. Her work has been profiled in the New Yorker, in Paul Tough’s best-selling book, How Children Succeed: Grit, Curiosity, and the Hidden Power of Character, and in Jamie Redford’s feature film, “Resilience.”
Dr. Burke Harris serves as an expert advisor on the Too Small to Fail initiative championed by the Clinton Foundation in association with Next Generation to improve the lives of children ages birth to five. She also serves as an advisor on Governor Brown’s Let’s Get Healthy California Task Force and as a committee member for the Medical Home for Children Exposed to Violence Committee of the American Academy of Pediatrics. Burke Harris’ work has also earned her the Arnold P. Gold Foundation Humanism in Medicine Award presented by the American Academy of Pediatrics.",https://www.salesforce.com/dreamforce/DF16/keynotes-burke-harris/
CAPTAIN SCOTT KELLY,CAPTAIN,SCOTT KELLY,"Astronaut, NASA","History-Making U.S. Astronaut & Retired U.S. Navy Captain
Back from his historic record-breaking Year In Space, NASA astronaut Captain Scott Kelly has laid the groundwork for the future of space travel and exploration, and continues to garner media exposure like no other pioneer of our time. From the cover of TIME to live interviews on TODAY to features in Forbes and on CNN to a Twitter following that is rapidly approaching 1 million, the world remains in awe as we celebrate a hero’s return to the planet that is hone, from an adventure that is extraordinary. With life lessons and personal stories that reveal unique and valuable advice on pushing one’s own limits, to insight on the leadership and teamwork required in such demanding conditions, and the challenges—such as long term deprivation from loved ones and Planet Earth—Kelly reflects on the choices and life events that paved his journey’s path and brings audiences to the edge of their seats as he delivers a truly one-of-a-kind experience.
An astronaut since 1996, Kelly’s achievements over his illustrious 20-year career with NASA earned him the coveted position as America’s first year-round astronaut. On his historic mission that spanned from March 2015 to March 2016, Kelly and Russian cosmonaut Mikhail Kornienko conducted experiments, reconfigured station modules, and captivated the world with live interviews and never-seen-before photos from the International Space Station.
The historic mission also included NASA’s groundbreaking Twins Study, in which Kelly’s identical twin brother, retired NASA astronaut Captain Mark Kelly served on the ground as a control model in an unprecedented experiment to understand how space affects the human body.
Prior to his career with NASA, Kelly served 25 years in the U.S. Navy, retiring as an experienced aviator and decorated Captain.",https://www.salesforce.com/dreamforce/DF16/keynotes-skelly/
