Full Name,First Name,Last Name,Headline,Bio,Reference
Colleen   Denzler,Colleen,Denzler,Founder and Chief Executive OfficerColleen Denzler Strategy Partners,"Colleen Denzler, CFA is the founder of Colleen Denzler Strategy Partners LLC, a company dedicated to strengthening investment performance through actively promoting ethics, responsibility and gender diversity within the financial services industry. Ms. Denzler's experience as a top performing asset manager, most notably having raised over $20 billion in assets, gives her an applied and unique perspective into the inner workings of asset growth. Previously, she was Global Head of Fixed Income Strategy at Janus Capital Group. Her opinions on the markets have appeared in The Wall Street Journal, The New York Times, The Financial Times, Pension & Investments, and Asset TV.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=291
Katie   Gandy,Katie,Gandy,"Account Manager, North AmericaTrucost","Katie Gandy joined Trucost in 2015 and is responsible for managing North America Financial Institution relationships and business development.  Prior to Trucost, she spent four years working for Bank of America Merrill Lynch on the municipal bond desk handling several large institutional money managers.  Most recently, Ms. Gandy was developing a market for green bond business on the municipal market desk.  She has her Series 7 and 63 certifications. ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=290
Leah  Fuhlbrugge,Leah,Fuhlbrugge,Portfolio Analyst - Multi Asset SolutionsRussell Investments,"Leah Fuhlbrugge, CFA, is a Portfolio Analyst for Russell Investmentsâ€™ Multi-Asset team based in the US.  She supports Russellâ€™s Multi-Asset portfolio managers on mandates which integrate Russellâ€™s equity, fixed income, real asset, and alternatives capabilities globally.  Ms. Fuhlbrugge is tasked with conducting analysis on strategic asset allocation, manager selection/passive alternatives, integrating Russellâ€™s capital market insights and market strategist views and total portfolio positioning.  Previously, she was a Client Executive for Russell Investmentsâ€™ Americas Institutional business. Prior to joining Russell in 2011, Ms. Fuhlbrugge was an Equity Research and Index Analyst at research and investment firm Renaissance Capital, LLC. ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=293
Jeff  Scheer,Jeff,Scheer,DirectorPathstone Federal Street,"Jeff Scheer, CFA, a director and partner of Pathstone Federal Street, develops portfolio advice and handles day-to-day client-related operations for several high net worth individuals and non-profit clients. He is a member of the firmâ€™s Impact Investing Committee. Mr. Scheer is a member of the Boston Security Analysts Society. Mr. Scheer is also a faculty member for the Confluence Philanthropy Next Gen Fellowship Program, a learning program for trustees and individual donors seeking to align their values with the management of their assets.  His prior experience includes the role of Senior Client Advisor at Federal Street Advisors.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=292
Stephen  Freedman,Stephen,Freedman,"Executive Director, Head of Thematic and Sustainable Investing Strategy at UBS Wealth Management AmericasUBS","Upon joining UBS in 1998, Stephen Freedman, PhD, CFAÂ®, served as an economist and public policy analyst in the Swiss headquarters of UBS. Since 2004, he has been an Investment Strategist within CIO Wealth Management Research. In 2007, Stephen transferred to the U.S. as Global Investment Strategist and was responsible for asset allocation until recently. Today, he is responsible for the thematic investment offering and for sustainable investing.  Mr. Freedman has been featured in national and international media outlets including CNBC, Bloomberg TV, Fox Business News, and PBS, and has been quoted in The Wall Street Journal, The New York Times, and Investment News, among others.  ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=295
Julie  Tanner,Julie,Tanner,Assistant Director of Socially Responsible InvestingChristian Brothers Investment Services,"Julie Tanner is the Assistant Director of Socially Responsible Investing at Christian Brothers Investment Services (CBIS). She is responsible for engaging with boards and corporate management to encourage the development and implementation of robust and substantive environmental, human rights and corporate governance policies and practices.  Ms. Tannerâ€™s leadership to improve corporate performance on human rights issues led the Coalition to Abolish Slavery and Trafficking (CAST) to honor CBIS with its Founderâ€™s Award in 2011.  Prior to joining CBIS, Ms. Tanner spent ten years in the financial services industry, most recently with JP Morgan Chase, before leading the Finance and Environment Program at National Wildlife Federation. ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=294
Tom  Newmark,Tom,Newmark,Founder and ChairThe Carbon Underground,"Tom Newmark, Founder and Chair of The Carbon Underground, has spent fourteen years in the natural vitamin and supplement industry, building New Chapter into the number one company in the industry before it was sold to Procter & Gamble. Tom is Chairman of the Greenpeace Fund USA, chairman of the American Botanical Council, founder of Sacred Seeds (a plant conservation project administered by United Plant Savers), and co-owner of Finca Luna Nueva, a biodynamic and regenerative farming operation in Costa Rica that administers a tropical farming systems trial. In his past he was a corporate attorney and entrepreneur, from which he claims to be recovering.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=297
Karina  Funk,Karina,Funk,"Portfolio Manager, Equity Research AnalystBrown Advisory","Karina Funk, CFA, is a Portfolio Manager and Equity Research Analyst at Brown Advisory, LLC. Ms. Funk joined the firm in 2009 and is responsible for managing the large-cap sustainable growth strategy. Prior to that, she was a Portfolio Manager and Equity Research Analyst at Winslow Management Company, LLC.  Previously, Ms. Funk was a Principal at Charles River Ventures, an Investment Manager at Massachusetts Renewable Energy Trust, and a Strategy Consultant at Cap Gemini Ernst & Young. She has extensive experience as an investment manager, strategy consultant, and engineer along with environmentally oriented investing experience in early-stage ventures, debt, and public equities. ",http://www.sriconference.com/agenda/speaker-bio.html?objectID=296
Richard  Lynch,Richard,Lynch,Directorfi360,"J. Richard Lynch, AIFÂ®, is a Director of fi360.  He oversees the strategic direction of the organization and specifically provides direction with respect to fiduciary developments and their impact on the financial services industry and fi360.  As the primary instructor for fi360 Training, he is instrumental in providing investment education and training programs that award the Accredited Investment FiduciaryÂ® (AIFÂ®) and Accredited Investment Fiduciary AnalystÂ® (AIFAÂ®) professional designations.  As a CEFEX Registration Committee member, Mr. Lynch oversees and approves the assessment and certification of all CEFEX-certified firms.  He assisted with the development of the industry's fiduciary handbook series, Prudent Practices for Investment Fiduciaries.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=299
Daniella  Russo,Daniella,Russo,"Founder, Chief Executive OfficerThink Beyond Plastic","Daniella Russo, Chief Executive Officer, launched Think Beyond Plasticâ„¢, the award-winning 360 campaign associated with National Geographic's Strange Days on Planet Earth, in 2007.  In 2009, she co-founded and led Plastic Pollution Coalition, and grew it to become the worldâ€™s largest NGO dedicated uniquely to plastic pollution. In 2012, she launched the Think Beyond Plasticâ„¢ Innovation Forum, a social impact venture.  Ms. Russo is a serial entrepreneur. Her prior experience includes executive management from start-up phase through an IPO; general management at Fortune-500 companies and mentoring and advancing entrepreneurs. Her executive background includes desktop publishing leader Frame Technology, Internet pioneer Infoseek, Sun Microsystems, Xerox PARC among others.",http://www.sriconference.com/agenda/speaker-bio.html?objectID=298
